"","time_id","seconds_in_bucket","bid_price1","ask_price1","bid_price2","ask_price2","bid_size1","ask_size1","bid_size2","ask_size2","stock_id"
"1",5,0,0.9990769,1.0001025,0.99900854,1.0002394,100,7,64,100,100
"2",5,4,0.99921364,1.0001025,0.99914527,1.0002394,300,7,310,100,100
"3",5,5,0.999282,1.0002394,0.99921364,1.0003761,700,201,400,36,100
"4",5,6,0.99948716,1.0007863,0.9994188,1.0008547,100,101,10,50,100
"5",5,7,0.9996239,1.0007863,0.9995555,1.0008547,200,101,100,50,100
"6",5,8,0.9996239,1.0004444,0.9995555,1.0007863,200,1,100,1,100
"7",5,9,1.0000342,1.0008547,0.9995555,1.0011282,34,50,100,1,100
"8",5,10,1.0000342,1.0008547,0.9995555,1.0011282,1,250,100,1,100
"9",5,11,1.0000342,1.0008547,0.9995555,1.0011282,4,251,100,1,100
"10",5,14,1.0000342,1.0008547,0.9995555,1.0011282,1,251,100,1,100
"11",5,15,1.0000342,1.0007863,0.9995555,1.0008547,1,202,100,251,100
"12",5,17,1.0000342,1.0007863,0.9998974,1.0008547,1,102,1,251,100
"13",5,18,1.0000342,1.0007863,0.9998974,1.0008547,1,103,1,251,100
"14",5,19,1.0000342,1.0007863,0.9998974,1.0008547,1,3,1,251,100
"15",5,20,1.0000342,1.0007863,0.9998974,1.0008547,1,4,1,150,100
"16",5,22,1.0000342,1.0007863,0.9998974,1.0008547,1,4,2,250,100
"17",5,23,1.0000342,1.0004444,0.9998974,1.0007863,1,1,2,6,100
"18",5,26,1.0000342,1.0007863,0.9998974,1.0008547,1,118,2,250,100
"19",5,27,1.0000342,1.0003761,0.9998974,1.0004444,2,1,1,4,100
"20",5,28,1.0000342,1.0004444,0.9998974,1.0007863,1,3,2,105,100
"21",5,30,1.0003761,1.0007863,1.0003077,1.0008547,100,5,101,50,100
"22",5,31,1.0003761,1.0011282,1.0003077,1.001265,101,182,101,400,100
"23",5,32,1.0005128,1.0011282,1.0003077,1.001265,201,181,101,400,100
"24",5,33,1.0005128,1.0011282,1.0003077,1.001265,201,181,101,300,100
"25",5,34,1.0005128,1.0011282,1.0004444,1.001265,201,181,20,300,100
"26",5,35,1.0005813,1.0011282,1.0005128,1.0011966,220,181,200,18,100
"27",5,36,1.0005813,1.0011282,1.0003761,1.0011966,1,282,1,18,100
"28",5,37,1.0005813,1.0011282,1.0004444,1.0011966,1,283,1,18,100
"29",5,38,1.0005813,1.0011282,1.0003761,1.0011966,1,284,1,18,100
"30",5,39,1.0005813,1.0011282,1.0005128,1.0011966,1,284,1,18,100
"31",5,40,1.0005813,1.0011282,1.0003761,1.0011966,1,284,3,18,100
"32",5,41,1.0003761,1.0010599,1.0000342,1.0011282,2,100,100,284,100
"33",5,42,1.0003761,1.0010599,1.0000342,1.0011282,1,100,101,284,100
"34",5,43,1.0003761,1.0010599,1.0003077,1.0011282,1,100,1,284,100
"35",5,44,1.0003761,1.0010599,1.0000342,1.0011282,1,100,101,284,100
"36",5,45,1.0003761,1.0010599,1.0003077,1.0011282,1,100,1,284,100
"37",5,46,1.0003761,1.0010599,1.0001025,1.0011282,1,100,22,284,100
"38",5,47,1.0003761,1.0010599,1.0003077,1.0011282,1,13,2,284,100
"39",5,48,1.0003761,1.0010599,1.0003077,1.0011282,1,13,1,285,100
"40",5,49,1.0003761,1.0010599,1.0003077,1.0011282,1,14,1,284,100
"41",5,50,1.0003761,1.0010599,1.0000342,1.0011282,1,119,21,182,100
"42",5,51,1.0003761,1.0010599,1.0000342,1.0011282,1,120,22,181,100
"43",5,52,1.0003761,1.0010599,1.0003077,1.0011282,1,120,1,181,100
"44",5,53,1.0003761,1.0010599,1.0000342,1.0011282,1,120,20,181,100
"45",5,54,1.0004444,1.0010599,1.0000342,1.0011282,2,120,20,181,100
"46",5,55,1.0004444,1.0009915,1.0001025,1.0010599,1,18,1,120,100
"47",5,56,1.0004444,1.0009915,1.000171,1.0010599,1,18,1,120,100
"48",5,57,1.0004444,1.0009232,1.0001025,1.0009915,1,2,20,18,100
"49",5,58,1.0004444,1.0008547,1.000171,1.0009232,1,1,1,1,100
"50",5,59,1.0004444,1.0008547,1.000171,1.0009232,1,1,1,1,100
"51",5,60,1.0004444,1.0009232,1.0001025,1.0009915,3,2,126,18,100
"52",5,62,1.0004444,1.0009232,1.0002394,1.0009915,122,2,101,18,100
"53",5,63,1.0008547,1.0014701,1.0007863,1.0017437,201,1,200,1,100
"54",5,64,1.0009232,1.0017437,1.0008547,1.0020171,201,1,201,1,100
"55",5,65,1.0009915,1.0017437,1.0009232,1.0020171,101,1,202,1,100
"56",5,66,1.0009915,1.0017437,1.0009232,1.0020171,101,1,202,1,100
"57",5,67,1.0009915,1.0016752,1.0009232,1.0017437,101,1,202,1,100
"58",5,69,1.0009915,1.0017437,1.0008547,1.0020171,1,197,101,1,100
"59",5,71,1.0011282,1.0017437,1.0010599,1.0020171,100,97,201,1,100
"60",5,72,1.0009232,1.0016752,1.0008547,1.0020171,1,98,100,1,100
"61",5,73,1.0013334,1.0016752,1.0009915,1.0020171,1,99,1,101,100
"62",5,74,1.0009915,1.0013334,1.0008547,1.0016752,23,97,100,2,100
"63",5,75,1.0009915,1.0013334,1.0008547,1.0016752,23,97,101,2,100
"64",5,76,1.0009915,1.0013334,1.0008547,1.0016752,23,99,101,2,100
"65",5,77,1.0009915,1.001265,1.0008547,1.0013334,23,13,100,1,100
"66",5,78,1.0007863,1.0011282,1.0005813,1.0011966,100,13,200,100,100
"67",5,79,1.0007863,1.0011282,1.0005813,1.0011966,100,13,200,102,100
"68",5,83,1.0007863,1.0011966,1.0005813,1.001265,100,1,200,1,100
"69",5,85,1.0007863,1.0011966,1.0005813,1.001265,100,1,200,3,100
"70",5,86,1.0007863,1.0011966,1.0005813,1.001265,100,1,200,15,100
"71",5,88,1.0005813,1.0011966,1.0005128,1.001265,200,1,1,14,100
"72",5,89,1.0005813,1.001265,1.0005128,1.001607,200,115,1,100,100
"73",5,90,1.0005813,1.0009915,1.0002394,1.001265,200,1,100,14,100
"74",5,91,1.0002394,1.0007863,1.0000342,1.0009915,100,10,100,218,100
"75",5,92,1.0002394,1.0007863,1.0000342,1.0010599,100,118,100,100,100
"76",5,93,1.0002394,1.0007863,1.0000342,1.0010599,200,18,200,100,100
"77",5,94,1.0000342,1.0007863,0.9999658,1.0010599,100,18,100,100,100
"78",5,95,1.0000342,1.0005128,0.9999658,1.0008547,100,119,100,100,100
"79",5,96,1.0000342,1.0005128,0.9995555,1.0008547,100,123,1,100,100
"80",5,99,1.0000342,1.0005128,0.9999658,1.0008547,100,126,18,100,100
"81",5,101,1.0000342,1.0005128,0.9999658,1.0008547,100,126,18,100,100
"82",5,106,1.0000342,1.0015385,0.9999658,1.0017437,100,200,18,200,100
"83",5,107,1.0000342,1.0008547,0.9999658,1.0015385,100,1,18,100,100
"84",5,108,1.0000342,1.0008547,0.9999658,1.0011966,100,3,18,100,100
"85",5,110,1.0000342,1.0008547,0.9999658,1.0011966,100,204,18,100,100
"86",5,114,1.0000342,1.0008547,0.9999658,1.0011966,100,104,18,100,100
"87",5,116,1.0000342,1.0008547,0.9999658,1.0011966,100,204,18,100,100
"88",5,118,1.0000342,1.0008547,0.9999658,1.0011966,1,204,18,100,100
"89",5,119,1.0001025,1.0008547,1.0000342,1.0011966,100,204,105,100,100
"90",5,123,1.000171,1.0008547,1.0001025,1.0011966,200,304,400,100,100
"91",5,125,1.0001025,1.0005128,1.0000342,1.0008547,209,2,1,303,100
"92",5,126,1.0001025,1.0005128,1.0000342,1.0008547,9,209,1,200,100
"93",5,127,1.0000342,1.0005128,0.9999658,1.0008547,1,309,18,100,100
"94",5,129,1.0000342,1.0005128,0.9999658,1.0008547,2,309,18,100,100
"95",5,132,0.9999658,1.0002394,0.9998974,1.0005128,18,100,100,209,100
"96",5,133,0.9998974,1.0002394,0.9995555,1.0005128,100,401,101,7,100
"97",5,134,0.9995555,1.0002394,0.99948716,1.0005128,1,401,1,7,100
"98",5,135,0.9995555,1.0001025,0.99948716,1.0002394,1,305,1,100,100
"99",5,137,0.9995555,1.0001025,0.99948716,1.0002394,1,307,1,100,100
